Data,Run,Indices
Usoskin,19,110+240+290+313
Mouse_pan,0,729+1177+1702+88+721+856+120+969+577+1491+1673+1389+1139
Mouse_pan,1,56+1677+115+485+536+1856+1466+697+1688+918+1366+1474+1545
Mouse_pan,2,1338+1762+149+316+1088+881+405+287+1370+468+1790+1211+1
Mouse_pan,3,1067+818+1738+796+1727+1522+406+474+25+708+488+1766+1659
Mouse_pan,4,1765+1703+577+1653+1453+962+650+1613+1203+1363+976+154+1874
Mouse_pan,5,421+1359+813+1329+1669+436+484+19+1562+1278+592+768+1379
Mouse_pan,6,1796+976+1191+105+77+408+1546+210+974+1248+1222+1269+1145
Mouse_pan,7,646+831+457+87+1607+524+1872+1281+1749+1004+57+1586+545
Mouse_pan,8,12+498+645+1050+1444+463+1227+542+988+1032+1359+45+1848
Mouse_pan,9,413+1023+1718+1064+737+1515+24+1051+1083+738+516+1695+897
Mouse_pan,10,1378+759+1014+1499+722+163+780+1451+313+1541+1198+619+1154
Mouse_pan,11,393+677+443+791+5+924+772+412+276+835+960+683+1028
Mouse_pan,12,1782+1551+1650+865+1867+1071+3+903+50+1359+657+1501+1626
Mouse_pan,13,185+401+307+1514+619+1722+163+1530+376+618+181+720+1875
Mouse_pan,14,1490+856+1779+1537+745+1735+37+1065+183+302+1523+585+366
Mouse_pan,15,111+304+404+1606+1854+422+941+313+1482+26+668+449+1205
Mouse_pan,16,1478+824+470+296+888+103+1781+961+1666+1247+968+1298+80
Mouse_pan,17,352+1016+1376+747+1463+662+1131+1018+1465+927+1401+363+1249
Mouse_pan,18,371+251+1354+919+685+490+405+1002+1286+1011+374+982+605
Mouse_pan,19,631+1250+1271+811+824+1025+1075+1346+1230+734+488+894+1635
Muraro,0,169+1930+1042+1679+1786+1831+1665+778+1382
Muraro,1,428+8+23+871+172+1854+2121+281+2087
Muraro,2,921+904+1055+1300+453+1344+853+26+414
Muraro,3,5+141+75+1146+1253+1068+1649+741+2016
Muraro,4,1847+1460+1381+1678+723+512+1349+1099+1535
Muraro,5,1250+1645+943+1706+1057+500+1598+402+1437
Muraro,6,1652+159+1662+1432+1163+1116+434+795+2039
Muraro,7,1441+620+2071+2014+261+498+2073+762+2024
Muraro,8,595+1564+132+606+1339+949+788+1868+1806
Muraro,9,1191+1623+217+1827+1620+1780+431+1198+1716
Muraro,10,728+1644+625+1927+894+1846+1219+10+1670
Muraro,11,1214+1087+1347+1730+1777+233+222+67+826
Muraro,12,998+80+324+1013+1233+911+748+1996+1130
Muraro,13,898+225+563+1440+1481+2020+418+1487+1890
Muraro,14,1490+1003+344+830+1479+1402+1071+23+902
Muraro,15,1080+2056+1950+503+1724+146+1105+1519+1322
Muraro,16,1695+1176+1398+351+454+47+936+1560+1834
Muraro,17,2077+746+117+1939+945+554+1755+342+1962
Muraro,18,1145+938+1881+1843+236+415+932+2057+2039
Muraro,19,1894+743+818+1101+1498+1706+2106+439+893
QSLimb,0,621+167+745+264+806+305
QSLimb,1,164+618+825+223+763+762
QSLimb,2,1066+242+795+813+1023+941
QSLimb,3,150+381+704+766+628+264
QSLimb,4,334+873+977+35+394+287
QSLimb,5,584+859+834+219+154+318
QSLimb,6,219+979+429+940+603+309
QSLimb,7,64+491+399+188+529+1057
QSLimb,8,585+226+196+279+394+50
QSLimb,9,1061+1014+355+278+1024+107
QSLimb,10,501+916+911+72+758+592
QSLimb,11,844+319+835+127+350+84
QSLimb,12,605+676+158+967+615+95
QSLimb,13,75+996+126+924+68+241
QSLimb,14,61+962+853+652+815+552
QSLimb,15,1035+744+345+720+347+873
QSLimb,16,436+813+520+564+531+990
QSLimb,17,247+435+438+424+647+295
QSLimb,18,950+307+22+855+325+217
QSLimb,19,806+258+167+982+978+1034
QSTrachea,0,179+831+6+1060
QSTrachea,1,69+740+1031+1271
QSTrachea,2,902+239+15+185
QSTrachea,3,612+286+143+240
QSTrachea,4,213+968+632+84
QSTrachea,5,607+845+981+413
QSTrachea,6,1136+718+723+441
QSTrachea,7,1265+1092+749+1169
QSTrachea,8,193+33+977+1207
QSTrachea,9,156+414+29+679
QSTrachea,10,987+154+254+1037
QSTrachea,11,271+675+1156+833
QSTrachea,12,878+203+806+722
QSTrachea,13,588+118+218+405
QSTrachea,14,137+1342+608+948
QSTrachea,15,1178+354+133+487
QSTrachea,16,1004+549+785+1173
QSTrachea,17,1108+1272+936+1196
QSTrachea,18,962+1095+654+1092
QSTrachea,19,938+692+43+713
QSLung,0,232+362+1537+1023+616+1200+992+555+1109+244+1407
QSLung,1,765+644+345+7+1538+851+939+1157+280+108+457
QSLung,2,387+1370+668+502+363+485+1162+1354+555+141+376
QSLung,3,398+878+1650+761+1672+1630+104+1176+45+1142+1584
QSLung,4,450+326+1377+1021+381+474+608+1508+1564+1336+562
QSLung,5,889+480+553+1051+1423+791+1431+943+350+75+914
QSLung,6,261+449+1329+1509+29+1214+900+1083+1053+450+1114
QSLung,7,445+414+1209+500+442+1476+1362+1115+1626+1138+1193
QSLung,8,795+741+267+780+243+1589+808+883+286+245+913
QSLung,9,1146+392+1244+1062+239+1142+641+1086+1100+1139+920
QSLung,10,96+974+301+481+457+968+1598+1638+1261+944+1133
QSLung,11,1267+127+1184+931+81+96+1361+1136+290+1046+1536
QSLung,12,70+1085+1417+999+44+704+472+6+1518+625+821
QSLung,13,1300+1673+628+728+1615+1369+259+472+546+987+66
QSLung,14,1117+1469+611+210+409+684+357+1141+1219+1553+787
QSLung,15,221+1339+575+46+591+812+158+1289+1133+1244+728
QSLung,16,50+1033+208+1390+1142+1585+1255+1090+1307+525+829
QSLung,17,445+404+705+1567+1315+290+745+915+171+1491+1032
QSLung,18,991+65+1313+1126+1205+1216+102+352+752+702+788
QSLung,19,1227+648+1349+41+992+965+550+363+1526+1084+1577
QSDiaphragm,0,600+494+830+9+841
QSDiaphragm,1,609+323+807+258+259
QSDiaphragm,2,324+627+385+811+161
QSDiaphragm,3,778+466+691+854+457
QSDiaphragm,4,724+376+494+48+575
QSDiaphragm,5,423+716+323+115+478
QSDiaphragm,6,91+713+477+100+841
QSDiaphragm,7,448+360+706+552+175
QSDiaphragm,8,70+600+800+14+573
QSDiaphragm,9,454+240+53+741+587
QSDiaphragm,10,183+647+617+416+438
QSDiaphragm,11,105+574+444+676+426
QSDiaphragm,12,744+454+255+228+42
QSDiaphragm,13,51+221+304+259+608
QSDiaphragm,14,509+702+606+282+366
QSDiaphragm,15,672+149+53+518+667
QSDiaphragm,16,598+482+10+342+429
QSDiaphragm,17,433+512+161+406+809
QSDiaphragm,18,345+767+66+385+614
QSDiaphragm,19,737+320+778+68+576
Q10XSpleen,0,6499+2883+7356+5020+5850
Q10XSpleen,1,30+7721+2055+9050+7200
Q10XSpleen,2,536+1442+582+3947+5753
Q10XSpleen,3,906+5315+756+6099+2074
Q10XSpleen,4,9078+204+3086+5707+2446
Q10XSpleen,5,4600+5418+107+3234+5670
Q10XSpleen,6,2453+6559+280+2818+7241
Q10XSpleen,7,3740+6139+1562+1364+3999
Q10XSpleen,8,9401+1320+7946+4286+603
Q10XSpleen,9,3438+4254+6314+424+3195
Q10XSpleen,10,7386+7153+7444+682+8422
Q10XSpleen,11,3238+358+7287+5625+1687
Q10XSpleen,12,2863+6813+5082+1406+8881
Q10XSpleen,13,3476+3212+6696+3491+7307
Q10XSpleen,14,4592+9138+3425+8241+4882
Q10XSpleen,15,5942+2496+8609+8401+4855
Q10XSpleen,16,920+7079+8065+7342+5972
Q10XSpleen,17,2427+7515+4352+8363+5637
Q10XSpleen,18,2702+6848+6849+4608+7849
Q10XSpleen,19,3299+8151+4098+3902+1536
